caso_completo;caso_sem_pos
2020_01_rv0;2020_01_rv0
2020_01_rv0;2020_02_rv0
2020_01_rv0;2020_03_rv0
2020_01_rv0;2020_04_rv0
2020_05_rv0;2020_05_rv0
2020_05_rv0;2020_06_rv0
2020_05_rv0;2020_07_rv0
2020_05_rv0;2020_08_rv0
2020_09_rv0;2020_09_rv0
2020_09_rv0;2020_10_rv0
2020_09_rv0;2020_11_rv0
2020_09_rv0;2020_12_rv0
2021_01_rv0;2021_01_rv0
2021_01_rv0;2021_02_rv0
2021_01_rv0;2021_03_rv0
2021_01_rv0;2021_04_rv0
2021_05_rv0;2021_05_rv0
2021_05_rv0;2021_06_rv0
2021_05_rv0;2021_07_rv0
2021_05_rv0;2021_08_rv0
2021_09_rv0;2021_09_rv0
2021_09_rv0;2021_10_rv0
2021_09_rv0;2021_11_rv0
2021_09_rv0;2021_12_rv0
2022_01_rv0;2022_01_rv0
2022_01_rv0;2022_02_rv0
2022_01_rv0;2022_03_rv0
2022_01_rv0;2022_04_rv0
2022_05_rv0;2022_05_rv0
2022_05_rv0;2022_06_rv0
2022_05_rv0;2022_07_rv0
2022_05_rv0;2022_08_rv0
2022_09_rv0;2022_09_rv0
2022_09_rv0;2022_10_rv0
2022_09_rv0;2022_11_rv0
2022_09_rv0;2022_12_rv0
2023_01_rv0;2023_01_rv0
2023_01_rv0;2023_02_rv0
2023_01_rv0;2023_03_rv0
2023_01_rv0;2023_04_rv0
2023_05_rv0;2023_05_rv0
2023_05_rv0;2023_06_rv0
2023_05_rv0;2023_07_rv0
2023_05_rv0;2023_08_rv0
2023_09_rv0;2023_09_rv0
2023_09_rv0;2023_10_rv0
2023_09_rv0;2023_11_rv0
2023_09_rv0;2023_12_rv0