usina;ano_inicio;mes;cmont_historico
& GTDP - 2022
287;2022;1;70.77
287;2022;2;70.49
287;2022;3;70.47
287;2022;4;70.57
287;2022;5;70.79
287;2022;6;71.11
287;2022;7;71.08
287;2022;8;71.00
287;2022;9;70.92
287;2022;10;70.65
287;2022;11;70.66
287;2022;12;70.94
285;2022;1;89.19
285;2022;2;88.80
285;2022;3;88.83
285;2022;4;88.19
285;2022;5;89.49
285;2022;6;88.54
285;2022;7;85.67
285;2022;8;83.46
285;2022;9;82.52
285;2022;10;82.71
285;2022;11;84.43
285;2022;12;87.73
& GTDP - 2020
287;2020;1;71.29
287;2020;2;71.19
287;2020;3;70.95
287;2020;4;71.04
287;2020;5;71.27
287;2020;6;71.3
287;2020;7;71.3
287;2020;8;71.3
287;2020;9;71.3
287;2020;10;71.3
287;2020;11;71.3
287;2020;12;71.3
285;2020;1;89.39
285;2020;2;89.59
285;2020;3;88.72
285;2020;4;88.95
285;2020;5;89.64
285;2020;6;87.92
285;2020;7;85.23
285;2020;8;83.29
285;2020;9;82.83
285;2020;10;83.07
285;2020;11;84.53
285;2020;12;87.15