codigo_usina,mes,volume_referencia
120,9,889.61
120,10,843.69
120,11,804.23
120,12,802.77
121,1,3287.95
121,2,3387.05
121,3,3485.81
121,4,3552.51
121,5,3549.26
121,6,3512.19
121,7,3431.43
121,8,3322.65
121,9,3203.43
121,10,3083.26
121,11,2994.62
121,12,3015.05
122,1,244.48
122,2,240.55
122,3,253.74
122,4,269.3
122,5,270.44
122,6,271.49
122,7,283.05
122,8,280.48
122,9,257.4
122,10,220.1
122,11,223.9
122,12,236.1
123,1,612.47
123,2,646.79
123,3,668.37
123,4,711.52
123,5,669.08
123,6,651.41
123,7,623.24
123,8,575.52
123,9,474.43
123,10,450.45
123,11,470.63
123,12,525.13
126,1,6.86
126,2,6.81
126,3,6.85
126,4,6.79
126,5,6.78
126,6,6.77
126,7,6.76
126,8,6.74
126,9,6.74
126,10,6.73
126,11,6.79
126,12,6.85
127,1,1.0
127,2,1.0
127,3,1.0
127,4,1.0
127,5,1.0
127,6,1.0
127,7,1.0
127,8,1.0
127,9,1.0
127,10,1.0
127,11,1.0
127,12,1.0
129,1,126.5
129,2,126.5
129,3,126.5
129,4,126.5
129,5,126.5
129,6,126.5
129,7,126.5
129,8,126.5
129,9,126.5
129,10,126.5
129,11,126.5
129,12,126.5
130,1,8.0
130,2,8.0
130,3,8.0
130,4,8.0
130,5,8.0
130,6,8.0
130,7,8.0
130,8,8.0
130,9,8.0
130,10,8.0
130,11,8.0
130,12,8.0
131,1,38.0
131,2,38.0
131,3,38.0
131,4,38.0
131,5,38.0
131,6,38.0
131,7,38.0
131,8,38.0
131,9,38.0
131,10,38.0
131,11,38.0
131,12,38.0
132,1,445.35
132,2,445.35
132,3,445.35
132,4,445.35
132,5,445.35
132,6,445.35
132,7,445.35
132,8,445.35
132,9,445.35
132,10,445.35
132,11,445.35
132,12,445.35
133,1,17.0
133,2,17.0
133,3,17.0
133,4,17.0
133,5,17.0
133,6,17.0
133,7,17.0
133,8,17.0
133,9,17.0
133,10,17.0
133,11,17.0
133,12,17.0
134,1,78.0
134,2,78.0
134,3,78.0
134,4,78.0
134,5,78.0
134,6,78.0
134,7,78.0
134,8,78.0
134,9,78.0
134,10,78.0
134,11,78.0
134,12,78.0
135,1,94.44
135,2,95.08
135,3,96.43
135,4,95.83
135,5,98.02
135,6,96.85
135,7,94.69
135,8,90.71
135,9,86.11
135,10,87.66
135,11,91.09
135,12,95.22
141,1,35.52
141,2,35.25
141,3,34.94
141,4,35.05
141,5,35.74
141,6,35.61
141,7,35.89
141,8,35.66
141,9,35.11
141,10,34.99
141,11,35.38
141,12,35.48
143,1,180.19
143,2,179.29
143,3,179.92
143,4,181.87
143,5,182.14
143,6,182.23
143,7,181.77
143,8,181.12
143,9,180.11
143,10,181.56
143,11,181.47
143,12,177.96
144,1,21.68
144,2,21.68
144,3,21.68
144,4,21.68
144,5,21.68
144,6,21.68
144,7,21.68
144,8,21.68
144,9,21.68
144,10,21.68
144,11,21.68
144,12,21.68
148,1,3813.8
148,2,3978.98
148,3,4019.54
148,4,4013.92
148,5,3950.57
148,6,3832.09
148,7,3831.19
148,8,3712.15
148,9,3582.5
148,10,3407.73
148,11,3307.75
148,12,3515.59
153,1,128.52
153,2,127.27
153,3,128.05
153,4,127.14
153,5,127.19
153,6,127.16
153,7,127.51
153,8,127.88
153,9,125.43
153,10,126.17
153,11,123.71
153,12,123.37
154,1,1634.0
154,2,1634.0
154,3,1634.0
154,4,1634.0
154,5,1634.0
154,6,1634.0
154,7,1634.0
154,8,1634.0
154,9,1634.0
154,10,1634.0
154,11,1634.0
154,12,1634.0
155,1,215.12
155,2,214.87
155,3,227.28
155,4,227.31
155,5,219.21
155,6,212.77
155,7,206.69
155,8,203.85
155,9,200.49
155,10,200.22
155,11,205.61
155,12,215.79
156,1,9279.59
156,2,10199.76
156,3,11632.75
156,4,12351.72
156,5,12110.29
156,6,11816.29
156,7,10968.63
156,8,10308.58
156,9,9470.98
156,10,8841.77
156,11,8568.21
156,12,8745.59
162,1,259.06
162,2,320.62
162,3,387.68
162,4,464.96
162,5,474.68
162,6,451.5
162,7,425.01
162,8,384.09
162,9,326.27
162,10,273.72
162,11,237.87
162,12,229.35
169,1,13913.06
169,2,13893.08
169,3,15823.2
169,4,18752.09
169,5,18319.37
169,6,17122.0
169,7,16268.95
169,8,14926.86
169,9,13069.32
169,10,11477.25
169,11,11105.44
169,12,12924.66
172,1,8446.83
172,2,8479.29
172,3,8485.61
172,4,8580.37
172,5,8794.42
172,6,8896.74
172,7,8800.53
172,8,8755.6
172,9,8714.29
172,10,8698.06
172,11,8584.62
172,12,8343.44
173,1,1226.0
173,2,1226.0
173,3,1226.0
173,4,1226.0
173,5,1226.0
173,6,1226.0
173,7,1226.0
173,8,1226.0
173,9,1226.0
173,10,1226.0
173,11,1226.0
173,12,1226.0
174,1,26.0
174,2,26.0
174,3,26.0
174,4,26.0
174,5,26.0
174,6,26.0
174,7,26.0
174,8,26.0
174,9,26.0
174,10,26.0
174,11,26.0
174,12,26.0
175,1,121.0
175,2,121.0
175,3,121.0
175,4,121.0
175,5,121.0
175,6,121.0
175,7,121.0
175,8,121.0
175,9,121.0
175,10,121.0
175,11,121.0
175,12,121.0
178,1,3800.0
178,2,3800.0
178,3,3800.0
178,4,3800.0
178,5,3800.0
178,6,3800.0
178,7,3800.0
178,8,3800.0
178,9,3800.0
178,10,3800.0
178,11,3800.0
178,12,3800.0
189,1,2897.99
189,2,2911.2
189,3,2913.03
189,4,2978.93
189,5,3006.08
189,6,2997.03
189,7,3002.18
189,8,2986.23
189,9,2947.54
189,10,2888.97
189,11,2853.1
189,12,2839.68
190,1,3912.29
190,2,4152.98
190,3,4510.39
190,4,4787.59
190,5,4909.62
190,6,4877.14
190,7,4734.16
190,8,4528.4
190,9,4237.68
190,10,3950.3
190,11,3769.92
190,12,3795.89
192,1,12.0
192,2,12.0
192,3,12.0
192,4,12.0
192,5,12.0
192,6,12.0
192,7,12.0
192,8,12.0
192,9,12.0
192,10,12.0
192,11,12.0
192,12,12.0
193,1,1.0
193,2,1.0
193,3,1.0
193,4,1.0
193,5,1.0
193,6,1.0
193,7,1.0
193,8,1.0
193,9,1.0
193,10,1.0
193,11,1.0
193,12,1.0
195,1,16.69
195,2,16.73
195,3,16.69
195,4,16.61
195,5,16.75
195,6,16.8
195,7,16.88
195,8,16.9
195,9,16.91
195,10,16.92
195,11,16.75
195,12,16.72
196,1,21.0
196,2,21.0
196,3,21.0
196,4,21.0
196,5,21.0
196,6,21.0
196,7,21.0
196,8,21.0
196,9,21.0
196,10,21.0
196,11,21.0
196,12,21.0
203,1,806.2
203,2,845.48
203,3,863.78
203,4,890.74
203,5,887.9
203,6,897.21
203,7,879.6
203,8,864.54
203,9,822.99
203,10,790.41
203,11,775.17
203,12,785.14
204,1,224.43
204,2,227.95
204,3,222.46
204,4,215.66
204,5,202.38
204,6,222.88
204,7,228.97
204,8,229.29
204,9,229.37
204,10,229.79
204,11,229.84
204,12,231.03
215,1,0.29
215,2,0.27
215,3,0.25
215,4,0.24
215,5,0.25
215,6,0.27
215,7,0.25
215,8,0.25
215,9,0.26
215,10,0.28
215,11,0.24
215,12,0.24
217,1,11.0
217,2,11.0
217,3,11.0
217,4,11.0
217,5,11.0
217,6,11.0
217,7,11.0
217,8,11.0
217,9,11.0
217,10,11.0
217,11,11.0
217,12,11.0
227,1,2041.8
227,2,2041.8
227,3,2041.8
227,4,2041.8
227,5,2041.8
227,6,2041.8
227,7,2041.8
227,8,2041.8
227,9,2288.71
227,10,2020.56
227,11,2034.73
227,12,2055.24
228,1,1466.59
228,2,1499.07
228,3,1476.41
228,4,1482.77
228,5,1488.84
228,6,1494.84
228,7,1507.03
228,8,1504.24
228,9,1497.26
228,10,1488.55
228,11,1482.43
228,12,1487.24
229,1,971.69
229,2,971.61
229,3,971.62
229,4,971.68
229,5,971.68
229,6,971.59
229,7,971.67
229,8,971.62
229,9,971.6
229,10,971.64
229,11,971.64
229,12,971.67
230,1,592.09
230,2,594.39
230,3,593.69
230,4,594.81
230,5,594.95
230,6,598.01
230,7,597.48
230,8,597.94
230,9,589.73
230,10,596.42
230,11,599.09
230,12,595.74
241,1,264.48
241,2,264.48
241,3,264.48
241,4,264.48
241,5,264.48
241,6,264.48
241,7,264.48
241,8,264.48
241,9,264.48
241,10,264.48
241,11,264.48
241,12,264.48
249,1,20.82
249,2,20.82
249,3,20.82
249,4,20.82
249,5,20.82
249,6,20.82
249,7,20.82
249,8,20.82
249,9,20.82
249,10,20.82
249,11,20.82
249,12,20.82
251,1,23933.06
251,2,25210.78
251,3,26396.64
251,4,27806.47
251,5,29134.99
251,6,28917.99
251,7,27648.05
251,8,26301.52
251,9,24667.75
251,10,22977.95
251,11,21579.12
251,12,21247.02
252,1,2300.0
252,2,2300.0
252,3,2300.0
252,4,2300.0
252,5,2300.0
252,6,2300.0
252,7,2300.0
252,8,2300.0
252,9,2300.0
252,10,2300.0
252,11,2300.0
252,12,2300.0
253,1,934.53
253,2,937.72
253,3,938.87
253,4,935.37
253,5,934.92
253,6,937.8
253,7,940.3
253,8,939.75
253,9,937.8
253,10,939.13
253,11,937.61
253,12,935.92
257,1,2518.85
257,2,2528.72
257,3,2580.27
257,4,2590.27
257,5,2539.91
257,6,2501.13
257,7,2505.3
257,8,2490.43
257,9,2442.67
257,10,2434.71
257,11,2471.76
257,12,2476.85
261,1,4940.0
261,2,4940.0
261,3,4940.0
261,4,4940.0
261,5,4940.0
261,6,4940.0
261,7,4940.0
261,8,4940.0
261,9,4940.0
261,10,4940.0
261,11,4940.0
261,12,4940.0
262,1,826.06
262,2,826.06
262,3,826.06
262,4,826.06
262,5,826.06
262,6,826.06
262,7,826.06
262,8,826.06
262,9,826.06
262,10,826.06
262,11,826.06
262,12,826.06
267,1,5400.0
267,2,5400.0
267,3,5400.0
267,4,5400.0
267,5,5400.0
267,6,5400.0
267,7,5400.0
267,8,5400.0
267,9,5400.0
267,10,5400.0
267,11,5400.0
267,12,5400.0
272,1,365.81
272,2,420.72
272,3,507.07
272,4,557.51
272,5,577.36
272,6,582.53
272,7,565.06
272,8,513.47
272,9,432.57
272,10,342.01
272,11,292.62
272,12,291.52
275,1,26412.02
275,2,36029.83
275,3,45332.43
275,4,49240.45
275,5,49708.03
275,6,48898.11
275,7,46938.01
275,8,41585.7
275,9,32784.58
275,10,24614.67
275,11,21115.1
275,12,21004.72
276,1,335.92
276,2,401.55
276,3,437.01
276,4,452.47
276,5,444.29
276,6,435.66
276,7,401.9
276,8,347.35
276,9,286.56
276,10,268.51
276,11,258.05
276,12,278.27
277,1,13592.18
277,2,13671.22
277,3,14154.33
277,4,15375.03
277,5,17048.4
277,6,17853.23
277,7,17851.52
277,8,17556.04
277,9,16632.37
277,10,15374.62
277,11,14807.29
277,12,14211.34
278,1,6077.95
278,2,6461.3
278,3,6774.86
278,4,6956.2
278,5,6921.01
278,6,6786.84
278,7,6593.07
278,8,6375.51
278,9,6158.04
278,10,5964.53
278,11,5850.49
278,12,5919.93
279,1,1850.45
279,2,2645.57
279,3,3082.02
279,4,3267.39
279,5,3054.85
279,6,2802.83
279,7,2389.99
279,8,1788.48
279,9,1475.55
279,10,1407.35
279,11,1308.29
279,12,1293.97
280,1,134.22
280,2,134.09
280,3,134.01
280,4,134.14
280,5,134.15
280,6,133.95
280,7,133.72
280,8,134.95
280,9,136.81
280,10,136.76
280,11,134.33
280,12,130.85
281,1,199.0
281,2,199.0
281,3,199.0
281,4,199.0
281,5,199.0
281,6,199.0
281,7,199.0
281,8,199.0
281,9,199.0
281,10,199.0
281,11,199.0
281,12,199.0
283,1,146.0
283,2,146.0
283,3,146.0
283,4,146.0
283,5,146.0
283,6,146.0
283,7,146.0
283,8,146.0
283,9,146.0
283,10,146.0
283,11,146.0
283,12,146.0
284,1,126.94
284,2,121.48
284,3,121.56
284,4,123.66
284,5,123.96
284,6,122.8
284,7,122.69
284,8,123.95
284,9,126.12
284,10,126.83
284,11,128.81
284,12,126.75
285,1,2326.48
285,2,2351.81
285,3,2411.95
285,4,2481.69
285,5,2558.71
285,6,2281.46
285,7,1696.06
285,8,1334.61
285,9,1242.34
285,10,1262.75
285,11,1439.67
285,12,1931.85
286,1,121.3
286,2,123.56
286,3,133.27
286,4,144.99
286,5,150.52
286,6,139.09
286,7,131.84
286,8,123.78
286,9,120.06
286,10,118.43
286,11,116.58
286,12,119.7
287,1,2094.47
287,2,2066.76
287,3,2067.94
287,4,2078.77
287,5,2101.64
287,6,2135.32
287,7,2117.09
287,8,2076.72
287,9,2064.71
287,10,2050.1
287,11,2073.98
287,12,2115.14
288,1,4737.29
288,2,4762.55
288,3,4709.21
288,4,4732.38
288,5,4723.16
288,6,4735.46
288,7,4744.23
288,8,4518.63
288,9,4277.48
288,10,4066.39
288,11,4263.48
288,12,4589.11
290,1,96.27
290,2,120.11
290,3,150.66
290,4,155.25
290,5,147.82
290,6,123.18
290,7,121.26
290,8,119.44
290,9,99.48
290,10,92.08
290,11,92.82
290,12,107.98
304,1,5.0
304,2,5.0
304,3,5.0
304,4,5.0
304,5,5.0
304,6,5.0
304,7,5.0
304,8,5.0
304,9,5.0
304,10,5.0
304,11,5.0
304,12,5.0
305,1,1.0
305,2,1.0
305,3,1.0
305,4,1.0
305,5,1.0
305,6,1.0
305,7,1.0
305,8,1.0
305,9,1.0
305,10,1.0
305,11,1.0
305,12,1.0
310,1,0.12
310,2,0.12
310,3,0.12
310,4,0.12
310,5,0.12
310,6,0.12
310,7,0.12
310,8,0.12
310,9,0.12
310,10,0.12
310,11,0.12
310,12,0.12
311,1,215.32
311,2,214.28
311,3,223.38
311,4,216.69
311,5,212.03
311,6,210.6
311,7,209.49
311,8,208.81
311,9,204.98
311,10,207.43
311,11,211.49
311,12,209.29
312,1,322.05
312,2,319.94
312,3,330.87
312,4,327.97
312,5,324.04
312,6,322.13
312,7,316.78
312,8,315.54
312,9,314.27
312,10,313.49
312,11,319.17
312,12,319.81
314,1,4737.29
314,2,4762.55
314,3,4709.21
314,4,4732.38
314,5,4723.16
314,6,4735.46
314,7,4744.23
314,8,4518.63
314,9,4277.48
314,10,4066.39
314,11,4263.48
314,12,4589.11
315,1,95.33
315,2,95.33
315,3,95.33
315,4,95.33
315,5,95.33
315,6,95.33
315,7,95.33
315,8,95.33
315,9,95.33
315,10,95.33
315,11,95.33
315,12,95.33
